Article list3,Article list4,TypeCategory,TypeCarrier,TypeService
МАССОВЫЕ ЗРЕЛИЩА; РЕСУРСЫ В ИНТЕРНЕТ,МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ; ФЕСТИВАЛИ,Portals,App,Media
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,УСЛУГИ СПРАВОЧНО-ИНФОРМАЦИОННОЙ СЛУЖБЫ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,УСЛУГИ СПРАВОЧНО-ИНФОРМАЦИОННОЙ СЛУЖБЫ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,Desktop,ads_Exclude
УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,УСЛУГИ СПРАВОЧНО-ИНФОРМАЦИОННОЙ СЛУЖБЫ,ads_Exclude,ads_Exclude,ads_Exclude
УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,УСЛУГИ СПРАВОЧНО-ИНФОРМАЦИОННОЙ СЛУЖБЫ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ МОБИЛЬНЫХ УСТРОЙСТВ,Services,App,Entertainment
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ МОБИЛЬНЫХ УСТРОЙСТВ,ads_Exclude,ads_Exclude,ads_Exclude
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Medicine
УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,УСЛУГИ СПРАВОЧНО-ИНФОРМАЦИОННОЙ СЛУЖБЫ,ads_Exclude,ads_Exclude,ads_Exclude
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ,ТАКСОМОТОРНЫЕ ПЕРЕВОЗКИ,ads_Exclude,Desktop,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ЮВЕЛИРНЫХ ИЗДЕЛИЙ,E-commerce,Desktop,Jewelry
ИНТЕРНЕТ-ТОРГОВЛЯ; ТОРГОВЫЕ ОРГАНИЗАЦИИ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ; МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
ИНТЕРНЕТ-ТОРГОВЛЯ; КОСВЕННАЯ РЕКЛАМА; ТОРГОВЫЕ ОРГАНИЗАЦИИ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ; КОСВЕННАЯ РЕКЛАМА; МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-СУПЕРМАРКЕТЫ,E-commerce,Desktop,Food
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
ИНТЕРНЕТ-ТОРГОВЛЯ,"ИНТЕРНЕТ-БУТИКИ, МАГАЗИНЫ FASHION ТОВАРОВ",E-commerce,Desktop,Fashion
ИНТЕРНЕТ-ТОРГОВЛЯ; ТОРГОВЫЕ ОРГАНИЗАЦИИ,"БУТИКИ, МАГАЗИНЫ FASHION ТОВАРОВ; ИНТЕРНЕТ-БУТИКИ, МАГАЗИНЫ FASHION ТОВАРОВ",E-commerce,Desktop,Fashion
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ДЕТСКИХ ТОВАРОВ,E-commerce,Desktop,Kids
ИНТЕРНЕТ-ТОРГОВЛЯ; ТОРГОВЫЕ ОРГАНИЗАЦИИ,ИНТЕРНЕТ-МАГАЗИНЫ ДЕТСКИХ ТОВАРОВ; МАГАЗИНЫ ДЕТСКИХ ТОВАРОВ,E-commerce,Desktop,Kids
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Media
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ЭЛЕКТРОНИКИ И БЫТОВОЙ ТЕХНИКИ,E-commerce,Desktop,Tech
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,E-commerce,Desktop,General
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ЦВЕТОВ И ТОВ. ДЛЯ САДА И ОГОРОДА,E-commerce,Desktop,Flowers
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,E-commerce,Desktop,Tech
УСЛУГИ ПО ПРОВЕДЕНИЮ ДОСУГА,УСЛУГИ БУКМЕКЕРСКИЕ,Bets,Desktop,Betting
УСЛУГИ В ОБЛАСТИ ФИЗКУЛЬТУРЫ И СПОРТА; УСЛУГИ ПО ПРОВЕДЕНИЮ ДОСУГА,СПОРТИВНЫЕ КЛУБЫ; УСЛУГИ БУКМЕКЕРСКИЕ,Bets,Desktop,Betting
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Classifieds,Desktop,Real estate
